DATE,REGION,REVENUE,COGS,FORECASTED_REVENUE
01-01-2023,North Zone,9456.72,118.26,2636.7
01-01-2023,East Zone,2001.17,2427.49,1078.47
01-01-2023,West Zone,2377.24,2794.91,1783.86
01-01-2023,South Zone,765.82,73.71,9393.56
01-01-2023,Central Zone,887.19,2201.47,598.84
02-01-2023,North Zone,1393.2,4840.11,1384.24
02-01-2023,East Zone,4606.57,1913.75,356.68
02-01-2023,West Zone,1020.62,620.68,7029.74
02-01-2023,South Zone,6141.34,1547.6,4293.92
02-01-2023,Central Zone,3990.16,422.79,3663.28
03-01-2023,North Zone,4008.33,2298.06,61.07
03-01-2023,East Zone,300.3,1562.07,5671.59
03-01-2023,West Zone,8821.87,2326.3,3240.09
03-01-2023,South Zone,1947.88,1144.85,2993.35
03-01-2023,Central Zone,949.25,358.86,3628.51
04-01-2023,North Zone,2019.54,1325.19,2422.33
04-01-2023,East Zone,7723.04,1573.55,242.39
04-01-2023,West Zone,3445.1,2746.69,5742.43
04-01-2023,South Zone,1208.29,811.79,4380.52
04-01-2023,Central Zone,1052.86,2515.6,1922.41
05-01-2023,North Zone,4153.14,507.73,698.95
05-01-2023,East Zone,356.77,2759.81,2.25
05-01-2023,West Zone,1744.65,2441,1346.54
05-01-2023,South Zone,2498.9,238.81,1828.51
05-01-2023,Central Zone,5483.09,1711.98,10348.82
06-01-2023,North Zone,1741.43,174.07,936.71
06-01-2023,East Zone,6946.72,6568.41,610.91
06-01-2023,West Zone,6749.82,782.6,3649.64
06-01-2023,South Zone,86.91,38.66,9130.18
06-01-2023,Central Zone,934.06,1322.84,2729.75
07-01-2023,North Zone,4757.86,130.76,2681.57
07-01-2023,East Zone,3077.08,1059.03,5438.77
07-01-2023,West Zone,125.84,1321.19,3891.83
07-01-2023,South Zone,2001.53,1973.02,264.59
07-01-2023,Central Zone,4413.56,2208.6,1458.93
08-01-2023,North Zone,14068.13,693.52,272.12
08-01-2023,East Zone,680.74,829.35,1297.59
08-01-2023,West Zone,486.74,6870.22,10347.33
08-01-2023,South Zone,1330.89,1065.78,1343.84
08-01-2023,Central Zone,2351.23,971.53,5749.09
09-01-2023,North Zone,10685.82,4914.82,2807.79
09-01-2023,East Zone,4379.11,392.79,501.15
09-01-2023,West Zone,2537.51,1217.01,7245.6
09-01-2023,South Zone,51.25,1258.33,177.34
09-01-2023,Central Zone,1982.94,2569.72,7402.08
10-01-2023,North Zone,1061,533,314.55
10-01-2023,East Zone,2789.73,1854.84,6017.88
10-01-2023,West Zone,3919.23,1034.37,1194.28
10-01-2023,South Zone,825.31,2492.37,4061.41
10-01-2023,Central Zone,5239.15,283.29,1305.13
11-01-2023,North Zone,812.42,2223.35,4308.45
11-01-2023,East Zone,3855.75,164.98,6239.45
11-01-2023,West Zone,2101.62,2151.18,2430.85
11-01-2023,South Zone,4519.61,2509.3,1677.6
11-01-2023,Central Zone,6627.85,693.37,1636.9
12-01-2023,North Zone,270.98,1749.71,456.53
12-01-2023,East Zone,1475.88,5034.27,116.97
12-01-2023,West Zone,11654.59,297.16,10664.47
12-01-2023,South Zone,7.08,1399.02,4206.75
12-01-2023,Central Zone,1880.42,70.62,1283.63
13-01-2023,North Zone,2357.13,563.6,6335.1
13-01-2023,East Zone,6465.05,207.51,3134.89
13-01-2023,West Zone,1276.89,1049.17,1986.28
13-01-2023,South Zone,5573.18,1260.22,1363.22
13-01-2023,Central Zone,8.2,6199.71,1305.02
14-01-2023,North Zone,3939.16,3583.25,2540.75
14-01-2023,East Zone,2245.42,2254.67,11910.13
14-01-2023,West Zone,9637.91,881.93,2603.66
14-01-2023,South Zone,3010.62,2285.63,106.74
14-01-2023,Central Zone,422.86,461.29,856.84
15-01-2023,North Zone,3570.74,300.48,494.34
15-01-2023,East Zone,38.57,1000.21,211.65
15-01-2023,West Zone,1179.57,1014.89,2014.16
15-01-2023,South Zone,1998.77,3226.78,7758.87
15-01-2023,Central Zone,3922.71,7.71,473.11
16-01-2023,North Zone,948.42,1602.31,3938.32
16-01-2023,East Zone,277.63,776.04,289.4
16-01-2023,West Zone,4405.84,2325,1282.7
16-01-2023,South Zone,24.93,1132.35,1543.09
16-01-2023,Central Zone,5214.47,377.73,2907.57
17-01-2023,North Zone,528.68,1042.73,3525.23
17-01-2023,East Zone,630.7,477.82,1025.73
17-01-2023,West Zone,853.54,2635.01,2722.97
17-01-2023,South Zone,753.89,20.58,1513.95
17-01-2023,Central Zone,7435.37,837.67,2193.54
18-01-2023,North Zone,7587.46,2605.32,2256.92
18-01-2023,East Zone,845.73,776.14,406.68
18-01-2023,West Zone,543.66,2056.79,2910.04
18-01-2023,South Zone,3870.25,1296.35,1096.52
18-01-2023,Central Zone,5479.1,4084.73,12461
19-01-2023,North Zone,3023.57,3254.97,3141.78
19-01-2023,East Zone,103.69,3433.86,5888.22
19-01-2023,West Zone,5364.78,1166.81,1921.85
19-01-2023,South Zone,4624.83,494.31,1125.78
19-01-2023,Central Zone,4664.7,810.23,7362.57
20-01-2023,North Zone,532.19,1692.9,3359.94
20-01-2023,East Zone,167.03,2113.61,2580.97
20-01-2023,West Zone,13542.57,3504.91,8945.93
20-01-2023,South Zone,1489.08,2814.38,1722.72
20-01-2023,Central Zone,2969.25,423.94,2119.12
21-01-2023,North Zone,969.04,2974.99,1159.84
21-01-2023,East Zone,6719.69,267.02,554.79
21-01-2023,West Zone,6703.57,5454.27,3296.71
21-01-2023,South Zone,1252.89,2555.56,9907.6
21-01-2023,Central Zone,4140.99,259.14,4077.39
22-01-2023,North Zone,5560.15,3171.31,3120.9
22-01-2023,East Zone,2934.16,1986.22,5596.18
22-01-2023,West Zone,3293.87,2178.68,3447.67
22-01-2023,South Zone,5273.3,1170.04,1349.75
22-01-2023,Central Zone,930.11,1624.9,4655.2
23-01-2023,North Zone,5920.71,669.79,336.53
23-01-2023,East Zone,385.21,1004.64,5215.24
23-01-2023,West Zone,3269.55,1869.36,1808.93
23-01-2023,South Zone,2898.48,267.1,2006.35
23-01-2023,Central Zone,2140.84,2500.99,6507.01
24-01-2023,North Zone,919.33,1305.55,7178.06
24-01-2023,East Zone,2185.16,570.61,508.99
24-01-2023,West Zone,7285.52,3597.6,1823.3
24-01-2023,South Zone,5139.59,2656.14,7757.61
24-01-2023,Central Zone,2275.69,1231.76,611.26
25-01-2023,North Zone,4999.79,1561.51,1394.83
25-01-2023,East Zone,2243.08,1977.69,1409.76
25-01-2023,West Zone,66,502.34,5664.83
25-01-2023,South Zone,2025.5,195.76,244.11
25-01-2023,Central Zone,1848.37,1126.92,1948.56
26-01-2023,North Zone,199.01,822.54,1770.2
26-01-2023,East Zone,10296.49,972.69,242.44
26-01-2023,West Zone,2481.44,1684.29,1953.19
26-01-2023,South Zone,1077.62,3248.58,2414.37
26-01-2023,Central Zone,2344.65,37.27,11256.82
27-01-2023,North Zone,4367.32,1024.51,3696.99
27-01-2023,East Zone,701.8,207.59,4768.97
27-01-2023,West Zone,5973.71,3022.13,564.5
27-01-2023,South Zone,162.89,473.75,290.94
27-01-2023,Central Zone,227.81,815.07,1819.25
28-01-2023,North Zone,5762.28,183.76,1980.76
28-01-2023,East Zone,4491.72,610.89,7772.1
28-01-2023,West Zone,7013.72,6.78,1917.06
28-01-2023,South Zone,279.85,1688.21,592.89
28-01-2023,Central Zone,1899.12,6295.15,5244.59
29-01-2023,North Zone,3485.01,1381.25,5264.36
29-01-2023,East Zone,1211.51,2950.96,514.37
29-01-2023,West Zone,1042.62,310.77,4151.2
29-01-2023,South Zone,4917.03,1822.07,2987.34
29-01-2023,Central Zone,4562.31,2206.56,1533.24
30-01-2023,North Zone,3434.03,741.71,881.43
30-01-2023,East Zone,2482.56,213.54,1247.88
30-01-2023,West Zone,7760.3,2384.89,10605.89
30-01-2023,South Zone,53.48,1296.68,151.38
30-01-2023,Central Zone,416.25,1116.06,745.76
31-01-2023,North Zone,1479.52,2992.71,3296.81
31-01-2023,East Zone,791.33,1119.88,5182.15
31-01-2023,West Zone,834.01,576.42,2384.79
31-01-2023,South Zone,9432.07,2275.92,1241.25
31-01-2023,Central Zone,108.63,518.67,1447.94
01-02-2023,North Zone,129.55,774.34,2434.23
01-02-2023,East Zone,13505.75,560.65,2898.32
01-02-2023,West Zone,861.32,261.33,8166.19
01-02-2023,South Zone,216.87,3873.03,2823.54
01-02-2023,Central Zone,3028.85,2888.6,1272.81
02-02-2023,North Zone,4132.47,524.58,1604.27
02-02-2023,East Zone,706.84,1401.38,4355.52
02-02-2023,West Zone,5207.71,3528.63,7383.3
02-02-2023,South Zone,3877.85,681.54,705.87
02-02-2023,Central Zone,636.63,727.31,351.16
03-02-2023,North Zone,2525.95,1755.66,1436.7
03-02-2023,East Zone,11370.73,722.78,3076.15
03-02-2023,West Zone,581.33,664.53,6227.46
03-02-2023,South Zone,282.29,1562.52,52
03-02-2023,Central Zone,924.04,1619.47,4377.9
04-02-2023,North Zone,1351.87,378.55,1538.42
04-02-2023,East Zone,1045.29,967.79,1826.07
04-02-2023,West Zone,170.38,1633.03,2541.34
04-02-2023,South Zone,6686.24,1296.81,2758.1
04-02-2023,Central Zone,934.12,176.4,2299.63
05-02-2023,North Zone,2374.87,2138.29,225.38
05-02-2023,East Zone,501.31,7.12,427.2
05-02-2023,West Zone,1777.97,1037.06,1675.79
05-02-2023,South Zone,1979.89,1285.27,1204.36
05-02-2023,Central Zone,9542.31,3300.99,14083.41
06-02-2023,North Zone,3961.72,2435.36,6021.9
06-02-2023,East Zone,7671.39,1454.23,3586.47
06-02-2023,West Zone,2177.5,1713.99,3255.83
06-02-2023,South Zone,601.58,3080.11,210.39
06-02-2023,Central Zone,1708.77,760.91,4632.32
07-02-2023,North Zone,2833.05,1064.9,2746.64
07-02-2023,East Zone,2451.26,1500.26,2390.92
07-02-2023,West Zone,7129.13,1816.52,4793.06
07-02-2023,South Zone,2823,1233.35,5035.22
07-02-2023,Central Zone,932.9,1174.85,804.9
08-02-2023,North Zone,8106.11,3602.4,1857.28
08-02-2023,East Zone,508.01,4324.91,9806.25
08-02-2023,West Zone,1720.48,914.55,3654.51
08-02-2023,South Zone,5812.4,1473.87,5518.61
08-02-2023,Central Zone,3290.48,1134.12,412.98
09-02-2023,North Zone,3222.48,3042.23,1348.51
09-02-2023,East Zone,4894.25,420.53,6977.23
09-02-2023,West Zone,2421,390.27,2854.19
09-02-2023,South Zone,2125.17,5760.75,4197.8
09-02-2023,Central Zone,4155.3,38.15,2422.25
10-02-2023,North Zone,1957.04,1456.5,1790.81
10-02-2023,East Zone,4061.61,2089.6,7196.86
10-02-2023,West Zone,2653.9,1618.74,1369.53
10-02-2023,South Zone,4742.06,199.49,3179.81
10-02-2023,Central Zone,180.47,1308.58,535.77
11-02-2023,North Zone,9281.66,292.91,413.61
11-02-2023,East Zone,455.58,1378.59,769.47
11-02-2023,West Zone,171.95,2363.87,1611.52
11-02-2023,South Zone,2179.8,1033.37,2374.72
11-02-2023,Central Zone,2281.33,1618.35,8467.8
12-02-2023,North Zone,8276.05,3402.85,3561.12
12-02-2023,East Zone,3349.04,430.63,4080.22
12-02-2023,West Zone,1132.9,222.93,1927.44
12-02-2023,South Zone,2082.29,2759.32,4391.85
12-02-2023,Central Zone,2136.03,765.02,2052.98
13-02-2023,North Zone,3636.69,586.74,4046.49
13-02-2023,East Zone,2182.39,2625.95,3315.49
13-02-2023,West Zone,1225.18,266.66,1589.94
13-02-2023,South Zone,2869.33,1361.87,377.16
13-02-2023,Central Zone,688.66,702.62,565.05
14-02-2023,North Zone,2728.74,1162.34,3288.9
14-02-2023,East Zone,471.56,631.26,291.89
14-02-2023,West Zone,10748.08,480.6,2319.91
14-02-2023,South Zone,467.25,154.37,8816.75
14-02-2023,Central Zone,2252.04,4348.75,3359.49
15-02-2023,North Zone,4043.79,3344.87,7246.61
15-02-2023,East Zone,1275.41,1563.22,654.73
