IDENTIFIER,TITLE
EXBPCRIDIO11Q,"BoP: Foreign Direct Investment in India - Other Capital (Inflows, Quarterly, INR)"
EXBPCRIDIR11Q,"BoP: Foreign Direct Investment in India - Reinvested Earnings (Inflows, Quarterly, INR)"
EXBPCRIFDI11A,"BoP: Foreign Direct Investment in India (Inflows, Annual, INR)"
EXBPCRIFPI11A,"BoP: Foreign Portfolio Investment in India (Inflows, Annual, INR)"
EXBPCRIGDR11Q,"BoP: Portfolio Investment in India - ADRs/GDRs (Inflows, Quarterly, INR)"
EXBPCRINCO11Q,"BoP: Income Receipts (Quarterly, INR)"
EXBPCRINSU11A,"BoP: Services Receipts - Insurance (Annual, INR)"
EXBPCRLOAN11A,"BoP: Loans (Inflows, Annual, INR)"
EXBPCRLTSC11Q,"BoP: Suppliers Credit >180 days and Buyers Credit (Inflows, Quarterly, INR)"
BKASSCBAGG23Q,Outstanding Credit of Scheduled Commercial Banks in all Population regions (ex RRBs)
BKASSCBCMT23Q,"Outstanding Credit of Scheduled Commercial Banks in Metropolitan Areas (2011 Census, ex RRBs)"
BKASSCBRTN11Q,"Number of Loan Accounts of Scheduled Commercial Banks to Retail Trade (Quarterly, BSR1)"
BKDESCBAGG23Q,Outstanding Deposits of Scheduled Commercial Banks in All Population regions (ex RRBs)
CLRNMTHALI11M,Cumulative Rainfall during the month - All India
CLRNMTHASM11M,Cumulative Rainfall during the month - Assam & Meghalaya
CLRNMTHBIH11M,Cumulative Rainfall during the month - Bihar
CLRNMTHCAP11M,Cumulative Rainfall during the month - Coastal Andhra Pradesh
CLRNMTHJNK11M,Cumulative Rainfall during the month - Jammu & Kashmir
CLRNMTHPUN11M,Cumulative Rainfall during the month - Punjab
CLRNMTHTEL11M,Cumulative Rainfall during the month - Telangana
MFAUMASAMF11M,Average Aggregate Assets under Management of all Mutual Fund Schemes (Monthly Statewise)
IFSPMMTOTC11M,Total Cargo Handled by Ports (Monthly)
