IDENTIFIER,TITLE
DMCBRBRABSGLA,Crude Birth Rate - Brazil
DMCBRCHABSGLA,Crude Birth Rate - China
DMCBREUABSGLA,Crude Birth Rate - Euro Area
DMCBRFRABSGLA,Crude Birth Rate - France
DMCBRGEABSGLA,Crude Birth Rate - Germany
DMCBRIDABSGLA,Crude Birth Rate - Indonesia
DMCBRINABSGLA,Crude Birth Rate - India
DMCBRITABSGLA,Crude Birth Rate - Italy
DMCBRJPABSGLA,Crude Birth Rate - Japan
DMCBRPHABSGLA,Crude Birth Rate - Phillipines
DMCBRPLABSGLA,Crude Birth Rate - Poland
DMCBRSAABSGLA,Crude Birth Rate - South Africa
DMCBRUKABSGLA,Crude Birth Rate - UK
DMCBRUSABSGLA,Crude Birth Rate - USA
DMCBRSKABSGLA,Crude Birth Rate - South Korea
DMCBRTHABSGLA,Crude Birth Rate - Thailand
DMCDRBRABSGLA,Crude Death Rate - Brazil
DMCDREUABSGLA,Crude Death Rate - Euro Area
DMCDRFRABSGLA,Crude Death Rate - France
DMCDRGEABSGLA,Crude Death Rate - Germany
DMCDRINABSGLA,Crude Death Rate - India
DMCDRITABSGLA,Crude Death Rate - Italy
DMCDRMXABSGLA,Crude Death Rate - Mexico
DMCDRPLABSGLA,Crude Death Rate - Poland
DMCDRRUABSGLA,Crude Death Rate - Russia
DMCDRSKABSGLA,Crude Death Rate - South Korea
DMCDRUKABSGLA,Crude Death Rate - UK
DMIMRBRABSGLA,Infant Mortality Rate  - Brazil
DMIMRCHABSGLA,Infant Mortality Rate  - China
DMCDRSAABSGLA,Crude Death Rate - South Africa
DMIMRGEABSGLA,Infant Mortality Rate  - Germany
DMIMRIDABSGLA,Infant Mortality Rate  - Indonesia
DMIMRINABSGLA,Infant Mortality Rate  - India
DMIMRITABSGLA,Infant Mortality Rate  - Italy
DMIMRJPABSGLA,Infant Mortality Rate  - Japan
DMIMRMXABSGLA,Infant Mortality Rate  - Mexico
DMIMRPHABSGLA,Infant Mortality Rate  - Phillipines
DMIMRSAABSGLA,Infant Mortality Rate  - South Africa
DMIMRSKABSGLA,Infant Mortality Rate  - South Korea
DMLEBBRABSGLA,Life Expectancy at Birth - Brazil
DMLEBEUABSGLA,Life Expectancy at Birth - Euro Area
DMLEBITABSGLA,Life Expectancy at Birth - Italy
DMLEBJPABSGLA,Life Expectancy at Birth - Japan
DMLEBPLABSGLA,Life Expectancy at Birth - Poland
DMLEBTHABSGLA,Life Expectancy at Birth - Thailand
DMLEBUKABSGLA,Life Expectancy at Birth - UK
DMMEAGEABSGLA,Median Age of Population - Germany
DMMEACHABSGLA,Median Age of Population - China
DMMEAUKABSGLA,Median Age of Population - UK
DMPODPLABSGLA,Population Density - Poland
DMPODSAABSGLA,Population Density - South Africa
DMPODITABSGLA,Population Density - Italy
DMPOPTHABSGLA,Total Population by Sex - Thailand
DMSEREUABSGLA,Sex Ratio of the Total Population - Euro Area
DMSERMXABSGLA,Sex Ratio of the Total Population - Mexico
DMSERUSABSGLA,Sex Ratio of the Total Population - USA
DMTFRINABSGLA,Total Fertility Rate - India
DMSERFRABSGLA,Sex Ratio of the Total Population - France
ENELCUTHSS11M,Monthly Capacity utilisation (PLF) - thermal power (state sector)
ENELHYCCAP11M,"Monthly Electricity generation capacity (hydro, central sector)"
DMCBRMXABSGLA,Crude Birth Rate - Mexico
DMCBRRUABSGLA,Crude Birth Rate - Russia
DMCDRCHABSGLA,Crude Death Rate - China
DMCDRIDABSGLA,Crude Death Rate - Indonesia
DMCDRJPABSGLA,Crude Death Rate - Japan
DMCDRPHABSGLA,Crude Death Rate - Phillipines
DMCDRTHABSGLA,Crude Death Rate - Thailand
DMCDRUSABSGLA,Crude Death Rate - USA
DMIMREUABSGLA,Infant Mortality Rate  - Euro Area
DMIMRFRABSGLA,Infant Mortality Rate  - France
DMIMRTHABSGLA,Infant Mortality Rate  - Thailand
DMIMRUKABSGLA,Infant Mortality Rate  - UK
DMIMRUSABSGLA,Infant Mortality Rate  - USA
DMLEBCHABSGLA,Life Expectancy at Birth - China
DMLEBIDABSGLA,Life Expectancy at Birth - Indonesia
DMLEBINABSGLA,Life Expectancy at Birth - India
DMLEBPHABSGLA,Life Expectancy at Birth - Phillipines
DMLEBRUABSGLA,Life Expectancy at Birth - Russia
DMLEBSAABSGLA,Life Expectancy at Birth - South Africa
DMMEABRABSGLA,Median Age of Population - Brazil
DMMEAEUABSGLA,Median Age of Population - Euro Area
DMMEAFRABSGLA,Median Age of Population - France
DMMEAINABSGLA,Median Age of Population - India
DMIMRRUABSGLA,Infant Mortality Rate  - Russia
DMLEBGEABSGLA,Life Expectancy at Birth - Germany
DMLEBUSABSGLA,Life Expectancy at Birth - USA
DMMEAIDABSGLA,Median Age of Population - Indonesia
DMMEAITABSGLA,Median Age of Population - Italy
DMMEAJPABSGLA,Median Age of Population - Japan
DMMEAMXABSGLA,Median Age of Population - Mexico
DMMEAPHABSGLA,Median Age of Population - Phillipines
DMMEAPLABSGLA,Median Age of Population - Poland
DMMEASAABSGLA,Median Age of Population - South Africa
DMMEAUSABSGLA,Median Age of Population - USA
DMPODBRABSGLA,Population Density - Brazil
DMPODGEABSGLA,Population Density - Germany
DMPODINABSGLA,Population Density - India
DMPODJPABSGLA,Population Density - Japan
DMPODTHABSGLA,Population Density - Thailand
DMPODUKABSGLA,Population Density - UK
DMPODUSABSGLA,Population Density - USA
DMPOPEUABSGLA,Total Population by Sex - Euro Area
DMPOPFRABSGLA,Total Population by Sex - France
DMPOPIDABSGLA,Total Population by Sex - Indonesia
DMPOPINABSGLA,Total Population by Sex - India
DMPOPITABSGLA,Total Population by Sex - Italy
DMPOPJPABSGLA,Total Population by Sex - Japan
DMPOPPLABSGLA,Total Population by Sex - Poland
DMPOPRUABSGLA,Total Population by Sex - Russia
DMPOPSAABSGLA,Total Population by Sex - South Africa
DMSERBRABSGLA,Sex Ratio of the Total Population - Brazil
DMSERCHABSGLA,Sex Ratio of the Total Population - China
DMSERGEABSGLA,Sex Ratio of the Total Population - Germany
DMSERIDABSGLA,Sex Ratio of the Total Population - Indonesia
DMSERINABSGLA,Sex Ratio of the Total Population - India
DMSERPHABSGLA,Sex Ratio of the Total Population - Phillipines
DMSERRUABSGLA,Sex Ratio of the Total Population - Russia
DMSERSKABSGLA,Sex Ratio of the Total Population - South Korea
DMSERUKABSGLA,Sex Ratio of the Total Population - UK
DMTFRBRABSGLA,Total Fertility Rate - Brazil
DMTFRGEABSGLA,Total Fertility Rate - Germany
DMTFRIDABSGLA,Total Fertility Rate - Indonesia
DMTFRITABSGLA,Total Fertility Rate - Italy
DMTFRJPABSGLA,Total Fertility Rate - Japan
DMTFRMXABSGLA,Total Fertility Rate - Mexico
