S. No.,Name of State Road Transport Undertaking (SRTU),Average Fleet Held (Number) - 2011-12,Average Fleet Held (Number) - 2012-13,Average Fleet Held (Number) - 2013-14,Average Fleet Held (Number) - 2014-15,Average Fleet Held (Number) - 2015-16,Average Age of Fleet (Years) - 2011-12,Average Age of Fleet (Years) - 2012-13,Average Age of Fleet (Years) - 2013-14,Average Age of Fleet (Years) - 2014-15,Average Age of Fleet (Years) - 2015-16,Staff Strength (Number) - 2011-12,Staff Strength (Number) - 2012-13,Staff Strength (Number) - 2013-14,Staff Strength (Number) - 2014-15,Staff Strength (Number) - 2015-16,Fuel Efficiency (Km/litre of HSD) - 2011-12,Fuel Efficiency (Km/litre of HSD) - 2012-13,Fuel Efficiency (Km/litre of HSD) - 2013-14,Fuel Efficiency (Km/litre of HSD) - 2014-15,Fuel Efficiency (Km/litre of HSD) - 2015-16,Passenger Kms Performed (Lakhs) - 2011-12,Passenger Kms Performed (Lakhs) - 2012-13,Passenger Kms Performed (Lakhs) - 2013-14,Passenger Kms Performed (Lakhs) - 2014-15,Passenger Kms Performed (Lakhs) - 2015-16,Passenger Carried (Lakhs) - 2011-12,Passenger Carried (Lakhs) - 2012-13,Passenger Carried (Lakhs) - 2013-14,Passenger Carried (Lakhs) - 2014-15,Passenger Carried (Lakhs) - 2015-16
1,Ahmedabad MTS,985,1120,1036,946,993,NA,6.73,6.31,4.98,3.17,4715,5739,5293,5503,5498,3.26,3.17,3.07,3.21,3.26,21288.21,19022.73,15351.8,15851.6,17902.19,2934.7,2395.97,2022.74,2024.37,2274.95
2,Andhra Pradesh SRTC,22170,22477,11857,12079,12012,4.78,NA,NA,5.68,6.16,123615,122287,63141,61806,57902,5.13,5.15,5.21,5.23,5.19,1001924.01,1017168,446812.21,548032.27,516978.85,50014,51673.05,16359.3,23192.1,22977.48
3,Andaman & Nicobar ST,219,227,258,266,268,8.22,8.22,7.3,8.21,7.32,1156,858,858,858,858,NA,3.54,3.79,3.77,3.72,NA,89.69,100.33,104.7,105.8,116.75,133.14,101.81,101.08,115.06
4,Arunachal Pradesh ST,631,207,219,173,164,5,8,9,NA,NA,2579,809,809,808,808,3.8,3.33,3.33,2.48,2.56,NA,78.48,83.1,79,72,45,0.3,NA,17.98,12.66
5,Assam STC,NA,NA,NA,815,1090,NA,NA,NA,3.53,4.4,NA,NA,NA,3148,3987,NA,NA,NA,3.65,3.79,NA,NA,NA,7065.05,7437.69,NA,NA,NA,148.89,207.95
6,BEST Undertaking,4669,4484,4314,4247,4094,6.1,6.64,7.55,8.36,9.1,35345,36620,36494,35705,34174,2.92,2.87,2.84(2.64),2.84,2.84,123353,114458,98432,90715.96,73489.93,14395,14096,13068,12215.78,10610.84
7,Bangalore Metropolitan TC,6092,6328,6603,6649,6448,4.9,4.59,5.3,5.97,6.9,32331,34278,36076,36474,35554,3.97,3.84,3.82,3.79,3.76,232758.5,214586.12,198796.6,217253.9,156478.42,15920.02,17111.7,18341.74,19366.9,14429.58
8,Bihar SRTC,414,414,414,223,223,9.8,10.78,11.78,11.85,12.85,1516,1204,920,749,625,4.29,4.32,4.31,4.29,4.27,4075.33,3575.09,2677.7,2673.42,3146.03,53.05,52.87,26.46,25.36,26.55
9,Calcutta STC,839,779,718,813,782,4.7,5.4,5.71,3.61,3.43,5813,5485,5059,4998,4799,3.04,2.97,2.96,2.11,2.6,11996.24,12175,10120,7652.94,6306,1164.08,1077.2,865.05,869.3,616
10,Chandigarh TU,493,472,468,432,494,5.3,6.1,6.9,6.35,7.83,2055,1921,1826,2102,1967,3.81,3.62,3.42,3.5,3.71,19613.94,17165.36,15419.2,15441,15795,794.22,671.6,611.94,478.15,539.19
11,Delhi TC,6077,5602,5341,4977,4564,4.8,5,6.3,6.7,7.1,40721,38103,35503,32864,30527,2.48,2.82,-2.79,-2.3,-2.26,90236.97,180219.85,155143.46,110186.78,105793.87,16176.86,17071.79,15867.61,14187.28,12944.24
12,Gujarat SRTC,7663,7719,7852,7765,7852,4.13,NA,4.01,4.83,5.29,41863,40370,40070,39257,39707,5.5,5.51,5.5,5.48,5.48,351240.49,351520.52,336104.24,333368.23,326305.62,8559.47,8410.6,8049.59,7734.65,7613.34
13,Haryana ST,3755,3755,3816,4083,4170,7,3.07,NA,3.36,4.07,16610,18974,18634,18259,17646,4.79,4.76,4.73,4.75,4.74,139868.04,164849,151371,169225,172764,4027.61,4527.18,4466.05,4683.42,4554.46
14,Himachal RTC,2024,2076,2059,2447,2645,NA,NA,8,NA,NA,8492,8419,8777,8018,8355,3.61,3.61,3.58,3.61,3.67,71618.8,72110.72,1690.93,NA,NA,40412.8,NA,NA,NA,NA
15,J&K SRTC,710,704,694,610,610,9.36,9,10.28,10.41,10,2193,2207,2035,1720,1989,4.23,4.24,4.28,4.23,4.34,NA,6928.99,6435.86,178.99,173.01,57.44,50.68,51.8,45.69,46.44
16,Kadamba TC Ltd.,412,425,547,540,569,6.75,6.46,4.54,4.96,5.49,1889,1861,2013,2054,2003,4.43,4.48,4.34,4.35,4.24,1150.27,7902.04,8663.31,9468.36,9798.65,306.28,301.12,317.33,344.33,356.18
17,Karnataka SRTC,7621,7831,8243,8321,8172,3.35,3.62,3.8,4.23,4.94,36448,36249,38776,37326,37129,4.87,4.8,4.76,4.82,4.83,351240.49,368678.8,354624.79,354490.41,343937.34,8866.71,9390.93,9662.09,10349.06,10103.63
18,Kerala SRTC,5742,5847,5830,5691,5636,6.54,6.5,6.71,6.97,6.39,39911,39712,42431,40812,42240,4.19,4.25,4.21,4.19,4.15,6558,NA,NA,5537,5489,12579,12156.29,11634.34,11059,10437
19,Maharashtra SRTC,16801,17497,18055.13,17957,18514,4.03,3.11,4,4.58,4.83,104566,100052,107709,107500,105679,4.91,4.87,4.77,4.76,4.76,556295,536151,525761.26,649286,639059,26003.92,26064,25630.26,24557,24561
