S. No.,Name of State Road Transport Undertaking (SRTU),Total Revenue (Rs. Lakh) - 2011-12,Total Revenue (Rs. Lakh) - 2012-13,Total Revenue (Rs. Lakh) - 2013-14,Total Revenue (Rs. Lakh) - 2014-15,Total Revenue (Rs. Lakh) - 2015-16,Total Cost (Rs. Lakh) - 2011-12,Total Cost (Rs. Lakh) - 2012-13,Total Cost (Rs. Lakh) - 2013-14,Total Cost (Rs. Lakh) - 2014-15,Total Cost (Rs. Lakh) - 2015-16,Net Profit/Loss (Rs. Lakh) - 2011-12,Net Profit/Loss (Rs. Lakh) - 2012-13,Net Profit/Loss (Rs. Lakh) - 2013-14,Net Profit/Loss (Rs. Lakh) - 2014-15,Net Profit/Loss (Rs. Lakh) - 2015-16
1,Ahmedabad MTS,11961.75,14373.79,15374.75,13028.54,13039.7,26054.4,31591.22,35633.82,37684.7,40690.58,-14092.65,-17217.43,-20259.07,-24656.16,-27650.88
2,Andhra Pradesh SRTC,667740.33,666151.62,744066.16,400801.26,501619.85,726271.29,669864.92,834333.95,444857.36,556522.44,-58530.96,-3713.3,-90267.79,-44056.1,-54902.59
3,Andaman & Nicobar ST,1293.76,1671.55,1886.55,1473.58,1746.18,7194.11,4299.22,4769.27,4965.39,5948.06,-5900.35,-2627.67,-2882.72,-3491.81,-4201.88
4,Arunachal Pradesh ST,NA,15.4,16.2,39.35,43.3,NA,53,54.95,NA,NA,NA,-37.6,-38.75,NA,NA
5,Assam STC,NA,NA,NA,13659.33,12380.43,NA,NA,NA,18337.79,16539.06,NA,NA,NA,-4678.46,-4158.63
6,BEST Undertaking,131544.36,142568.38,143510.38,150965.52,145377.74,168346.54,205611.6,218435.18,236767.28,251570.09,-36802.18,-63043.22,-74924.8,-85801.76,-106192.35
7,Bangalore Metropolitan TC,150307.65,166045.58,201394.23,225684.43,220748.39,148166.11,180841.03,216153.13,232174.81,219375.73,2141.54,-14795.45,-14758.9,-6490.38,1372.66
8,Bihar SRTC,2315.71,2053.36,1630.53,2160.69,2487.18,4097.92,3062.69,2576.02,11082.09,11236.86,-1782.21,-1009.33,-945.49,-8921.4,-8749.68
9,Calcutta STC,6163.03,7043.71,6197.6,35808.66,27375.44,23388.96,21853.94,23052.52,43236.08,39991.58,-17225.93,-14810.23,-16854.92,-7427.42,-12616.14
10,Chandigarh TU,11820.75,10795.1,10430.16,11107.08,13405.27,16200.23,17812.39,17551.98,18066.91,20519.43,-4379.48,-7017.29,-7121.82,-6959.83,-7114.16
