S. No.,Group
Revenue/Km(Paise) - 2018-19,Revenue/Km(Paise) 
Revenue/Km(Paise) - 2017-18,Revenue/Km(Paise) 
Revenue/Km(Paise) - 2016-17,Revenue/Km(Paise) 
Revenue/Bus/Day (Rs.) - 2018-19,Revenue/Bus/Day (Rs.) 
Revenue/Bus/Day (Rs.) - 2017-18,Revenue/Bus/Day (Rs.) 
Revenue/Bus/Day (Rs.) - 2016-17,Revenue/Bus/Day (Rs.) 
Cost/KM (paise) - 2018-19,Cost/KM (paise) 
Cost/KM (paise) - 2017-18,Cost/KM (paise) 
Cost/KM (paise) - 2016-17,Cost/KM (paise) 
Cost/Bus/Day (Rs.) - 2018-19,Cost/Bus/Day (Rs.) 
Cost/Bus/Day (Rs.) - 2017-18,Cost/Bus/Day (Rs.) 
Cost/Bus/Day (Rs.) - 2016-17,Cost/Bus/Day (Rs.) 
Profit/Loss per Km (Paise) - 2018-19,Profit/Loss per Km (Paise) 
Profit/Loss per Km (Paise) - 2017-18,Profit/Loss per Km (Paise) 
Profit/Loss per Km (Paise) - 2016-17,Profit/Loss per Km (Paise) 
Profit/Loss per Bus/Day (Rs.) - 2018-19,Profit/Loss per Bus/Day (Rs.) 
Profit/Loss per Bus/Day (Rs.) - 2017-18,Profit/Loss per Bus/Day (Rs.) 
Profit/Loss per Bus/Day (Rs.) - 2016-17,Profit/Loss per Bus/Day (Rs.) 
Staff Cost as % of Total Cost - 2018-19,Staff Cost as % of Total Cost 
Staff Cost as % of Total Cost - 2017-18,Staff Cost as % of Total Cost 
Staff Cost as % of Total Cost - 2016-17,Staff Cost as % of Total Cost 
Fuel and Lubricant Cost as % of Total Cost - 2018-19,Fuel and Lubricant Cost as % of Total Cost 
Fuel and Lubricant Cost as % of Total Cost - 2017-18,Fuel and Lubricant Cost as % of Total Cost 
Fuel and Lubricant Cost as % of Total Cost - 2016-17,Fuel and Lubricant Cost as % of Total Cost 
Tyres and Tubes Cost as % of Total Cost - 2018-19,Tyres and Tubes Cost as % of Total Cost 
