ID,LATITUDE,LONGITUDE,LATLONLIST,CREATED_AT
1,17.82450629,73.57543937,"[17.82450628753586,73.57543937414886]",
101,18.50695066,73.75122067,"[18.506950661221996, 73.75122066838668]",
2,18.48741522,73.90640254,"[18.487415218617375, 73.90640254262836]",
201,18.53690068,73.90914912,"[18.536900676049935, 73.90914912447336]",
301,18.45745655,73.81301876,"[18.45745654810111, 73.81301875989884]",
401,18.39361908,73.85421751,"[18.393619078997673, 73.85421750852838]",
501,18.59157846,73.82125851,"[18.591578459129703, 73.82125850543379]",
302,18.00877401,73.55758665,"[18.008774011308358, 73.55758664831521]",
303,18.20326208,73.4587097,"[18.203262079723604, 73.45870970189573]",
601,18.20326208,73.4587097,"[18.203262079723604, 73.45870970189573]",
701,18.23456879,73.63449094,"[18.234568791028842, 73.63449093997478]",
602,18.41968459,73.77319332,"[18.419684592402046, 73.77319332314654]",
702,18.55519722,73.84457231,"[18.555197222106372, 73.84457230549452]",
102,18.48481892,73.98605344,"[18.48481891609346, 73.98605343796315]",
703,18.28543015,73.98468015,"[18.285430154918537, 73.98468014703134]",
603,18.67226732,74.11376949,"[18.672267315654903, 74.11376949462111]",
801,18.66250947,74.11754607,"[18.662509468533674, 74.11754607334966]",
402,18.66576215,74.14260861,"[18.66576214963934, 74.14260860796087]",
502,18.65535336,74.1316223,"[18.65535335854967, 74.13162229571961]",
304,18.66625004,74.13385391,"[18.666250036107936, 74.13385390843499]",
103,18.66403416,74.121387,"[18.664034162019053, 74.12138700440046]",
403,18.2321231,73.63809586,"[18.23212310443474, 73.6380958552938]",
704,18.23330516,73.63595009,"[18.233305160904617, 73.63595008858744]",
305,18.23349877,73.63705516,"[18.233498772287376, 73.63705515860006]",
202,18.23171549,73.63532782,"[18.231715490172977, 73.63532781618763]",
705,18.72673827,73.65440369,"[18.726738269364276, 73.65440368705778]",
203,18.58973486,74.54084158,"[18.58973486465353, 74.54084157843535]",
802,18.79248653,74.30276871,"[18.79248653116512, 74.30276870520613]",
306,18.79338034,74.30740356,"[18.7933803371414, 74.3074035589525]",
503,18.79500542,74.30695295,"[18.795005423329254, 74.30695295269558]",
901,18.79488354,74.30972099,"[18.7948835419342, 74.30972099065579]",
3,18.72909557,74.21453476,"[18.72909557120102, 74.21453475748888]",
504,18.27760626,74.16183471,"[18.277606263655013, 74.16183471133817]",
505,18.96084408,73.94897455,"[18.96084408164009, 73.94897455304863]",
204,18.45380174,74.37877178,"[18.453801743134058, 74.37877178030003]",
1001,18.20260974,73.45875263,"[18.20260973687602, 73.45875263194468]",
1101,18.20273204,73.45965385,"[18.202732041136965, 73.45965385485994]",
1102,18.27764701,74.16197419,"[18.277647012023685, 74.16197419155203]",
1002,18.2777387,74.16185617,"[18.2777386997649, 74.1618561744212]",
1103,18.27770304,74.16189909,"[18.277703043386886, 74.16189908977347]",
1201,18.76615779,73.35983276,"[18.766157794447675, 73.35983276367189]",
