Sl. No.,National Waterways (NWs),Investment Sanctioned
1,NW-8- Alappuzha-Changanassery Canal in Kerala,3
2,NW-9- Alappuzha-Athirampuza Canal in Kerala,3
3,"NW-27-Cumberjua River in Goa, NW-68- Mandovi River in Goa and NW-111- Zuari River in Goa",15
4,NW-86- River Rupnarayan in West Bengal,20
5,NW-97- Sundarbans Waterways in West Bengal,20
6,NW-40- Ghaghra River in U.P. & Bihar,15
7,NW-44- Ichamati River in West Bengal,10
8,NW-10- Amba River in Maharashtra and NW-28-Dabhol Creek Vashisthi River in Maharashtra,10
9,NW-57- Kopili River in Assam,32
10,NW-31- Dhansiri River in Assam,84
11,NW-16-River Barak in Assam,148
