State,National Waterway Number,Length (km),Details of Waterways
"Uttar Pradesh, Bihar, Jharkhand & West Bengal",National Waterway 1,1620,Ganga-Bhagirathi-Hooghly River System (Haldia - Allahabad)
Assam,National Waterway 2,891,Brahmaputra River (Dhubri - Sadiya)
Kerala,National Waterway 3,205,"West Coast Canal (Kottapuram - Kollam), Champakara and Udyogmandal Canals"
Kerala,National Waterway 3,170,West Coast Canal (Kottapuram - Kozhikode)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,50,Kakinada Canal (Kakinada to Rajahmundry)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,171,Godavari river (Bhadrachalam to Rajahmundry)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,139,Eluru Canal (Rajahmundry to Vijayawada)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,157,Krishna river (Wazirabad to Vijayawada)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,113,Commamur Canal (Vijayawada to Peddaganjam)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,316,North Buckingham Canal (Peddaganjam to Central Station of Chennai)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,110,South Buckingham canal (Central Station of Chennai to Marakanam)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,22,Marakanam to Puducherry through Kaluvelly tank
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,1202,River Godavari (Bhadrachalam - Nashik)
"Andhra Pradesh, Telangana, Chhattisgarh, Karnataka, Tamil Nadu, Pondichery and Maharashtra",National Waterway 4,636,River Krishna (Wazirabad - Galagali)
Odisha and West Bengal,National Waterway 5,256,East Coast Canal and Matai river
Odisha and West Bengal,National Waterway 5,265,Brahmani-Kharsua-Dhamra rivers
Odisha and West Bengal,National Waterway 5,67,"Mahanadi delta rivers (Consisting of Hansua river, Nunanala, Gobrinala, Kharnasi river and Mahanadi river)"
Assam,National Waterway 6,68,Aai River
West Bengal,National Waterway 7,90,Ajoy (Ajay) River
Kerala,National Waterway 8,29,Alappuzha- Changanassery Canal
Kerala Alternate route: 11.5km,National Waterway 9,40,Alappuzha- Kottayam – Athirampuzha Canal
Maharashtra,National Waterway 10,45,Amba River
Maharashtra,National Waterway 11,99,Arunawati - Aran River System
Uttar Pradesh,National Waterway 12,5.5,Asi River
Kerala & Tamil Nadu,National Waterway 13,11,Avm Canal
Odisha,National Waterway 14,48,Baitarni River
West Bengal,National Waterway 15,135,Bakreswar - Mayurakshi River System
Assam,National Waterway 16,121,Barak River
Himachal Pradesh & Punjab,National Waterway 17,189,Beas River
Assam,National Waterway 18,69,Beki River
Uttar Pradesh,National Waterway 19,67,Betwa River
Tamil Nadu,National Waterway 20,95,Bhavani River
Karnataka & Telangana,National Waterway 21,139,Bheema River
Odisha,National Waterway 22,156,Birupa - BadiGenguti - Brahmani River System
Odisha,National Waterway 23,56,BudhaBalanga
Uttar Pradesh,National Waterway 24,61,Chambal River
Goa,National Waterway 25,33,Chapora River
Jammu & Kashmir,National Waterway 26,51,Chenab River
Goa,National Waterway 27,17,Cumberjua River
Maharashtra,National Waterway 28,45,Dabhol Creek -Vashishti River System
West Bengal,National Waterway 29,132,Damodar River
Assam,National Waterway 30,109,Dehing River
Assam,National Waterway 31,114,Dhansiri / Chathe
Assam,National Waterway 32,63,Dikhu River
Assam,National Waterway 33,61,Doyans River
West Bengal,National Waterway 34,137,Dvc Canal
West Bengal,National Waterway 35,108,Dwarekeswar River
West Bengal,National Waterway 36,119,Dwarka River
Bihar & Uttar Pradesh,National Waterway 37,296,Gandak River
Assam & West Bengal,National Waterway 38,62,Gangadhar River
Meghalaya,National Waterway 39,49,Ganol River
Bihar & Uttar Pradesh,National Waterway 40,354,Ghaghra River
Karnataka,National Waterway 41,112,Ghataprabha River
Uttar Pradesh,National Waterway 42,514,Gomti River
Karnataka,National Waterway 43,10,Gurupur River
West Bengal,National Waterway 44,63,Ichamati River
"Punjab , Haryana &Rajashtan",National Waterway 45,650,Indira Gandhi Canal
Jammu & Kashmir,National Waterway 46,35,Indus River
