Sl. No,States,National Waterways (NWs),Details of Waterways,Length (Km)
1,"Uttar Pradesh, Bihar, Jharkhand and West Bengal",NW 1,Ganga-Bhagirathi-Hooghly River System (Haldia - Allahabad),1620
2,Assam,NW 2,Brahmaputra River (Dhubri - Sadiya),891
3,Assam,NW 16,Barak River (Lakhipur -Tuker Gram),121
4,Kerala,NW 3,"West Coast Canal (Kottapuram - Kollam), Champakara and Udyogmandal Canals",205
5,Andhra Pradesh,NW 4,Krishna River (Vijayawada - Muktyala),82
6,Odisha,NW 5,Dhamra-Paradip via Mangalagadi to Pankopal,233
7,Kerala,NW 8,Alappuzha- Changanassery Canal,29
8,Kerala (Alternate Route - 11.5km),NW 9,Alappuzha - Kottayam - Athirampuzha Canal,40
9,Goa,NW 27,Cumberjua River (Cortalim-Ferry to Sao Martias Vidhan Parisad),17
10,Goa,NW 68,Mandovi River (Usgoan Bridge to Arabian Sea),41
11,Goa,NW 111,Zuari River (Sanvorden Bridge to Marmugao Port),50
12,West Bengal,NW 86,Rupnarayan River (Pratap Pur to Geonkhali),72
13,West Bengal,NW 97,Sunderbans Waterway (Namkhana to Athara Banki Khal),172
14,Bihar and Uttar Pradesh,NW 40,Ghagra River (Faizabad to Manjhi Ghat),345
15,Karnataka,NW 52,"Kali River (Kodasalli Dam to Sadashivgad Bridge, Arabian Sea)",53
16,West Bengal,NW 44,Ichamati River (Bridge at Gobra to Bansjhari Near Bangladesh Border),63
17,Assam,NW 57,Kopili River (Banthai Gaon Tinali Bus Stop to Chandrapur No.2 confluence with Brahmaputra),50
18,Assam,NW 31,Dhansiri River (Morongi T.E. Village Bridge to Numaligarh),110
19,Maharashtra,NW 10,"Amba River (Arabian Sea, Dharamtaar Creek to Nagothane ST Stand)",45
20,Maharashtra,NW 28,Dabhol Creek Vasisti River (Arabian Sea at Dabhol to Bridge at Pedhe),45
21,Goa,NW 25,"Chapora River (Bridge near Maneri Village to Morjim, Arabian Sea)",25
22,Bihar and Uttar Pradesh,NW 37,Gandak River (Bhaisalotal Barrage to Hazipur),296
23,Maharashtra and Gujarat,NW 73,Narmada River (Pandhariya to Gulf of Khambhat),226
24,Maharashtra,NW 85,Revadanda Creek - Kundalika River System (Arabian Sea at Revadanda to Bridge Near Roha Nagar),31
25,Bihar,NW 94,"Sone River (Sone Barrage, Dehri to Confluence with the Ganga)",141
26,Maharashtra and Gujarat,NW 100,Tapi River (Hatnur Dam to Gulf of Khambhat),436
